Cs,FA,MA,Pb,Sn,I,Br,BG,CBM,VBM
0,0,1,1,0,3,0,1.564,-3.9,-5.45
1,0,0,1,0,3,0,1.709,-3.6,-5.4
1,0,0,1,0,2,1,1.877,-3.69,-5.6
1,0,0,1,0,0,3,2.328,-3.3,-5.6
0,0.5,0.5,0.5,0.5,3,0,1.255,-4.15,-5.4
0,0,1,1,0,3,0,1.564,-4.06,-5.67
0,0,1,1,0,2,1,1.736,-3.85,-5.64
1,0,0,1,0,2,1,1.877,-3.76,-5.58
1,0,0,1,0,1,2,2.057,-3.92,-6
1,0,0,0.4,0.6,2.4,0.6,1.39,-3.86,-5.21
1,0,0,0.4,0.6,3,0,1.318,-3.66,-4.96
1,0,0,0.4,0.6,2.7,0.3,1.363,-3.76,-5.09
1,0,0,0.4,0.6,2,1,1.428,-4.06,-5.48
0,0,1,0,1,2,1,1.478,-3.96,-5.52
0,0,1,0,1,1,2,1.668,-3.78,-5.53
0,0,1,0,1,0,3,1.991,-3.39,-5.54
0,1,0,0,1,3,0,1.307,-4.5,-5.9
0,0,1,0.95,0.05,3,0,1.453,-3.82,-5.32
0,0,1,0.9,0.1,3,0,1.383,-3.66,-5.12
0,0,1,1,0,3,0,1.564,-3.85,-5.45
0,0,1,0.75,0.25,3,0,1.327,-3.58,-4.96
0,0,1,0.5,0.5,2.4,0.6,1.304,-3.73,-5.08
0,0.25,0.75,0,1,3,0,1.298,-3.53,-4.81
0,0.5,0.5,0,1,3,0,1.326,-3.55,-4.85
0,0,1,0,1,3,0,1.275,-3.48,-4.74
0,0.75,0.25,0,1,3,0,1.329,-3.55,-4.88
0,0.9,0.1,1,0,2.7,0.3,1.575,-4,-5.6
0,0.15,0.85,1,0,2.55,0.45,1.616,-3.9,-5.65
1,0,0,1,0,0,0,1.834,-3.26,-6.04
1,0,0,1,0,0,3,2.328,-3.36,-5.75
1,0,0,1,0,3,0,1.709,-3.45,-5.18
0,0,1,1,0,3,0,1.564,-3.88,-5.39
0,0,1,0.7,0.3,3,0,1.287,-3.81,-5.12
0,0,1,0.5,0.5,3,0,1.24,-3.67,-4.95
0,0,1,0.3,0.7,3,0,1.226,-3.69,-4.92
0,0,1,0.1,0.9,3,0,1.259,-3.57,-4.75
0,0,1,0,1,3,0,1.275,-3.63,-4.73
0,1,0,1,0,3,0,1.534,-4.23,-5.76
0.03,0.97,0,1,0,3,0,1.53,-4.04,-5.57
0.07,0.93,0,1,0,3,0,1.535,-3.89,-5.43
0.17,0.83,0,1,0,3,0,1.548,-3.77,-5.33
0.1,0.9,0,1,0,3,0,1.535,-3.85,-5.4
0.05,0.79,0.16,1,0,2.52,0.48,1.593,-3.87,-5.45
0.17,0.83,0,1,0,2.4,0.6,1.631,-3.8,-5.4
0.05,0.79,0.16,1,0,3,0,1.543,-3.93,-5.46
0.05,0.79,0.16,1,0,2.55,0.45,1.589,-3.86,-5.48
0.05,0.79,0.16,1,0,2.85,0.15,1.562,-3.9,-5.47
0.05,0.79,0.16,1,0,2.7,0.3,1.57,-3.89,-5.48
0.08,0.8004,0.1196,1,0,2.64,0.36,1.585,-4.1,-5.7
0,0.85,0.15,1,0,2.55,0.45,1.596,-3.92,-5.65
0,0.15,0.85,1,0,2.85,0.15,1.585,-3.86,-5.44
0.05,0.7885,0.1615,1,0,2.49,0.51,1.597,-3.9,-5.6
0.17,0.747,0.083,1,0,2.61,0.39,1.604,-4.2,-5.8
0.05,0.8075,0.1425,1,0,2.57,0.43,1.589,-3.9,-5.5
0.05,0.81,0.14,1,0,2.55,0.45,1.591,-3.87,-5.47
0,0,1,1,0,3,0,1.564,-3.9,-5.4
0.1,0.9,0,1,0,3,0,1.535,-3.87,-5.35
0,0,1,0,1,0,3,1.991,-3.42,-5.67
0,1,0,0,1,3,0,1.307,-4.12,-5.34
0.05,0.8075,0.1425,1,0,2.57,0.43,1.589,-3.85,-5.47
0,0,1,1,0,2.1,0.9,1.728,-4.29,-6.25
1,0,0,1,0,2.25,0.75,1.834,-3.59,-5.46
0.1,0.747,0.153,1,0,2.5,0.5,1.609,-4.2,-5.8
0.05,0.79,0.16,1,0,2.5,0.5,1.597,-3.91,-5.54
0.05,0.8265,0.1235,1,0,2.6,0.4,1.589,-4.1,-5.7
0,0.83,0.17,1.1,0,2.8,0.5,1.589,-3.9,-5.4
0.05,0.81,0.14,1,0,2.55,0.45,1.591,-4.2,-5.8
0.05,0.79,0.16,1,0,2.5,0.5,1.597,-3.9,-5.5
0,0.83,0.17,1,0,2.64,0.36,1.587,-4.04,-5.62
0.1,0.75,0.15,1,0,2.64,0.36,1.591,-4.06,-5.65
0,0.5,0.5,1,0,1.5,1.5,1.823,-3.93,-5.43
0,0,1,0.5,0.5,3,0,1.24,-3.82,-5.04
0,0,1,0.5,0.5,3,0,1.24,-3.62,-4.92
0,0,1,0.25,0.75,3,0,1.23,-3.49,-4.76
0.1,0.74,0.13,1,0,2.5,0.5,1.61,-4.1,-5.7
0.1,0.9,0,1,0,3,0,1.535,-3.83,-5.38
0.1,0.747,0.153,1,0,2.5,0.5,1.609,-3.86,-5.43
0,0.3,0.7,1,0,3,0,1.563,-3.83,-5.4
0.05,0.7885,0.1615,1,0,2.5,0.5,1.597,-3.7,-5.4
0.05,0.8265,0.1235,1,0,2.6,0.4,1.589,-4.22,-5.85
0.05,0.95,0,1,0,3,0,1.531,-3.95,-5.46
0,0.4,0.6,1,0,3,0,1.563,-3.6,-5.2
0,0.2,0.8,1,0,2.88,0.12,1.584,-3.93,-5.53
0.05,0.875,0.075,1,0,2.775,0.225,1.569,-3.9,-5.4
0.05,0.779,0.133,1,0,2.55,0.45,1.592,-3.9,-5.5
0.05,0.8075,0.1425,1,0,2.55,0.45,1.591,-4.15,-5.75
0,0.6,0.4,0.4,0.6,3,0,1.253,-4,-5.22
0,0.3,0.7,1,0,3,0,1.563,-3.9,-5.4
0.05,0.8,0.15,1,0,2.75,0.25,1.571,-3.99,-5.56
0,0.5,0.5,0.5,0.5,3,0,1.255,-4,-5.2
0.05,0.7885,0.1615,1,0,2.7,0.3,1.57,-3.7,-5.4
0.05,0.8075,0.1425,1,0,2.55,0.45,1.591,-3.8,-5.5
0.875,0.075,0.05,1,0,2.775,0.225,1.715,-3.85,-5.45
0,0.6,0.4,0.4,0.6,2.7,0.3,1.289,-3.94,-5.34
0,0.95,0.05,1,0,2.85,0.15,1.562,-4,-5.5
0,0.2,0.8,1,0,2.9,0.1,1.581,-4.01,-5.6
0,0,1,0,1,3,0,1.275,-3.7,-5
0,0,1,1,0,0,3,2.196,-3.69,-6
0.2,0.8,0,1,0,1.8,1.2,1.778,-3.9,-5.7
0.18,0.8,0.02,1,0,1.8,1.2,1.772,-3.81,-5.58
0,0,1,1,0,0,3,2.196,-3.42,-5.73
1,0,0,0.55,0.45,2,1,1.461,-4.07,-5.57
1,0,0,1,0,2,1,1.877,-3.88,-5.79
1,0,0,0.75,0.25,3,0,1.468,-3.91,-5.34
1,0,0,0.5,0.5,3,0,1.325,-3.63,-4.97
1,0,0,0.25,0.75,3,0,1.285,-3.63,-4.91
0,1,0,0,1,3,0,1.307,-4.55,-5.96
1,0,0,1,0,2,1,1.877,-4.16,-6.08
1,0,0,0.7,0.3,3,0,1.419,-4.1,-5.44
0.2,0.8,0,1,0,2,1,1.734,-3.82,-5.55
